genID,reachGoal,bC-ID,bC-C,bC-Sm,bC-Sf,bC-A,bSm-ID,bSm-C,bSm-Sm,bSm-Sf,bSm-A,bSf-ID,bSf-C,bSf-Sm,bSf-Sf,bSf-A,bA-ID,bA-C,bA-Sm,bA-Sf,bA-A
0,0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,
1,0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,
2,0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,
3,0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,
4,0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,
5,0,67.0,99999.0,99999.0,99999.0,299997.0,67.0,99999.0,99999.0,99999.0,299997.0,67.0,99999.0,99999.0,99999.0,299997.0,67.0,99999.0,99999.0,99999.0,299997.0
6,0,0.0,99999.0,99999.0,99999.0,299997.0,0.0,99999.0,99999.0,99999.0,299997.0,0.0,99999.0,99999.0,99999.0,299997.0,0.0,99999.0,99999.0,99999.0,299997.0
7,0,0.0,99999.0,99999.0,0.2134203,199998.22,0.0,99999.0,99999.0,0.2134203,199998.22,0.0,99999.0,99999.0,0.2134203,199998.22,0.0,99999.0,99999.0,0.2134203,199998.22
8,0,0.0,99999.0,0.123936586,0.19167992,99999.32,0.0,99999.0,0.123936586,0.19167992,99999.32,0.0,99999.0,0.123936586,0.19167992,99999.32,0.0,99999.0,0.123936586,0.19167992,99999.32
9,0,0.0,99999.0,0.123936586,0.65918726,99999.78,0.0,99999.0,0.123936586,0.65918726,99999.78,0.0,99999.0,0.123936586,0.65918726,99999.78,0.0,99999.0,0.123936586,0.65918726,99999.78
10,0,0.0,99999.0,0.09266539,0.73395246,99999.83,0.0,99999.0,0.09266539,0.73395246,99999.83,0.0,99999.0,0.09266539,0.73395246,99999.83,0.0,99999.0,0.09266539,0.73395246,99999.83
11,0,0.0,99999.0,0.060179826,0.4758287,99999.54,0.0,99999.0,0.060179826,0.4758287,99999.54,0.0,99999.0,0.060179826,0.4758287,99999.54,0.0,99999.0,0.060179826,0.4758287,99999.54
12,0,0.0,99999.0,99999.0,0.4758287,199998.47,0.0,99999.0,99999.0,0.4758287,199998.47,0.0,99999.0,99999.0,0.4758287,199998.47,0.0,99999.0,99999.0,0.4758287,199998.47
13,0,0.0,99999.0,99999.0,0.4758287,199998.47,0.0,99999.0,99999.0,0.4758287,199998.47,0.0,99999.0,99999.0,0.4758287,199998.47,0.0,99999.0,99999.0,0.4758287,199998.47
14,0,0.0,99999.0,99999.0,0.33360684,199998.33,0.0,99999.0,99999.0,0.33360684,199998.33,0.0,99999.0,99999.0,0.33360684,199998.33,0.0,99999.0,99999.0,0.33360684,199998.33
15,0,0.0,99999.0,99999.0,0.4758287,199998.47,0.0,99999.0,99999.0,0.4758287,199998.47,0.0,99999.0,99999.0,0.4758287,199998.47,0.0,99999.0,99999.0,0.4758287,199998.47
