0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,60.526913,59.526913,58.526913,57.526913,56.526913,55.526913,54.526913,53.526913,52.526913,52.112698,51.698483,51.28427,50.870056,50.455845,50.04163,50.455845,1.0,1.0,46.04163,45.62742,45.213203,44.79899,44.384777,43.970562,43.55635,43.142136,42.72792,42.31371,42.72792,43.142136,43.55635,43.970562,44.384777,44.79899,1.0,1.0,1.0
1.0,1.0,1.0,60.112698,59.112698,58.112698,57.112698,56.112698,55.112698,54.112698,53.112698,52.112698,51.112698,50.698483,50.28427,49.870056,49.455845,49.04163,49.455845,1.0,1.0,45.04163,44.62742,44.213203,43.79899,43.384777,42.970562,42.55635,42.142136,41.72792,41.31371,41.72792,42.142136,42.55635,42.970562,43.384777,43.79899,1.0,1.0,1.0
1.0,1.0,1.0,59.698483,58.698483,57.698483,56.698483,55.698483,54.698483,53.698483,52.698483,51.698483,50.698483,49.698483,49.28427,48.870056,48.455845,48.04163,48.455845,1.0,1.0,44.04163,43.62742,43.213203,42.79899,42.384777,41.970562,41.55635,41.142136,40.72792,40.31371,40.72792,41.142136,41.55635,41.970562,42.384777,42.79899,1.0,1.0,1.0
1.0,1.0,1.0,59.28427,58.28427,57.28427,56.28427,55.28427,54.28427,53.28427,52.28427,51.28427,50.28427,49.28427,48.28427,47.870056,47.455845,47.04163,47.455845,1.0,1.0,43.04163,42.62742,42.213203,41.79899,41.384777,40.970562,40.55635,40.142136,39.72792,39.31371,39.72792,40.142136,40.55635,40.970562,41.384777,41.79899,1.0,1.0,1.0
1.0,1.0,1.0,58.870056,57.870056,56.870056,55.870056,54.870056,53.870056,52.870056,51.870056,50.870056,49.870056,48.870056,47.870056,46.870056,46.455845,46.04163,46.455845,1.0,1.0,42.04163,41.62742,41.213203,40.79899,40.384777,39.970562,39.55635,39.142136,38.72792,38.31371,38.72792,39.142136,39.55635,39.970562,40.384777,40.79899,1.0,1.0,1.0
1.0,1.0,1.0,58.455845,57.455845,56.455845,55.455845,54.455845,53.455845,52.455845,51.455845,50.455845,49.455845,48.455845,47.455845,46.455845,45.455845,45.04163,45.455845,1.0,1.0,41.04163,40.62742,40.213203,39.79899,39.384777,38.970562,38.55635,38.142136,37.72792,37.31371,37.72792,38.142136,38.55635,38.970562,39.384777,39.79899,1.0,1.0,1.0
1.0,1.0,1.0,58.04163,57.04163,56.04163,55.04163,54.04163,53.04163,52.04163,51.04163,50.04163,49.04163,48.04163,47.04163,46.04163,45.04163,44.04163,43.04163,42.04163,41.04163,40.04163,39.62742,39.213203,38.79899,38.384777,37.970562,37.55635,37.142136,36.72792,36.31371,36.72792,37.142136,37.55635,37.970562,38.384777,38.79899,1.0,1.0,1.0
1.0,1.0,1.0,57.62742,56.62742,55.62742,54.62742,53.62742,52.62742,51.62742,50.62742,49.62742,48.62742,47.62742,46.62742,45.62742,44.62742,43.62742,42.62742,41.62742,40.62742,39.62742,38.62742,38.213203,37.79899,37.384777,36.970562,36.55635,36.142136,35.72792,35.31371,35.72792,36.142136,36.55635,36.970562,37.384777,37.79899,1.0,1.0,1.0
1.0,1.0,1.0,58.04163,57.04163,56.04163,55.04163,54.04163,53.04163,52.04163,51.04163,50.04163,49.04163,48.04163,47.04163,46.04163,45.04163,44.04163,43.04163,42.04163,41.04163,39.213203,38.213203,37.213203,36.79899,36.384777,35.970562,35.55635,35.142136,34.72792,34.31371,34.72792,35.142136,35.55635,35.970562,36.384777,36.79899,1.0,1.0,1.0
1.0,1.0,1.0,58.455845,57.455845,56.455845,55.455845,54.455845,53.455845,52.455845,51.455845,50.455845,49.455845,48.455845,47.455845,46.455845,45.455845,45.04163,45.455845,1.0,1.0,38.79899,37.79899,36.79899,35.79899,35.384777,34.970562,34.55635,34.142136,33.72792,33.31371,33.72792,34.142136,34.55635,34.970562,35.384777,35.79899,1.0,1.0,1.0
1.0,1.0,1.0,58.870056,57.870056,56.870056,55.870056,54.870056,53.870056,52.870056,51.870056,50.870056,49.870056,48.870056,47.870056,46.870056,46.455845,46.04163,46.455845,1.0,1.0,38.384777,37.384777,36.384777,35.384777,34.384777,33.970562,33.55635,33.142136,32.72792,32.31371,32.72792,33.142136,33.55635,33.970562,34.384777,35.384777,1.0,1.0,1.0
1.0,1.0,1.0,59.28427,58.28427,57.28427,56.28427,55.28427,54.28427,53.28427,52.28427,51.28427,50.28427,49.28427,48.28427,47.870056,47.455845,47.04163,47.455845,1.0,1.0,37.970562,36.970562,35.970562,34.970562,33.970562,32.970562,32.55635,32.142136,31.727922,31.31371,31.727922,32.142136,32.55635,32.970562,33.970562,34.970562,1.0,1.0,1.0
1.0,1.0,1.0,59.698483,58.698483,57.698483,56.698483,55.698483,54.698483,53.698483,52.698483,51.698483,50.698483,49.698483,49.28427,48.870056,48.455845,48.04163,48.455845,1.0,1.0,37.55635,36.55635,35.55635,34.55635,33.55635,32.55635,31.556349,31.142136,30.727922,30.31371,30.727922,31.142136,31.556349,32.55635,33.55635,34.55635,1.0,1.0,1.0
1.0,1.0,1.0,60.112698,59.112698,58.112698,57.112698,56.112698,55.112698,54.112698,53.112698,52.112698,51.112698,50.698483,50.28427,49.870056,49.455845,49.04163,49.455845,1.0,1.0,37.142136,36.142136,35.142136,34.142136,33.142136,32.142136,31.142136,30.142136,29.727922,29.31371,29.727922,30.142136,31.142136,32.142136,33.142136,34.142136,1.0,1.0,1.0
1.0,1.0,1.0,60.526913,59.526913,58.526913,57.526913,56.526913,55.526913,54.526913,53.526913,52.526913,52.112698,51.698483,51.28427,50.870056,50.455845,50.04163,50.455845,1.0,1.0,36.72792,35.72792,34.72792,33.72792,32.72792,31.727922,30.727922,29.727922,28.727922,28.31371,28.727922,29.727922,30.727922,31.727922,32.72792,33.72792,1.0,1.0,1.0
1.0,1.0,1.0,60.941124,59.941124,58.941124,57.941124,56.941124,55.941124,54.941124,53.941124,53.526913,53.112698,52.698483,52.28427,51.870056,51.455845,51.04163,51.455845,1.0,1.0,37.142136,36.142136,35.142136,34.142136,33.142136,32.142136,31.142136,30.142136,27.727922,27.31371,27.727922,30.142136,31.142136,32.142136,33.142136,34.142136,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,26.727922,26.31371,26.727922,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,25.727922,25.31371,25.727922,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,10.485281,10.071068,9.656855,9.2426405,8.828427,8.414213,8.0,8.414213,8.828427,9.2426405,9.656855,10.071068,10.485281,10.899495,11.313708,12.313708,1.0,1.0,20.828426,20.414213,20.828426,21.242641,21.656855,22.071068,22.485281,22.899494,23.31371,24.31371,25.31371,26.31371,27.31371,28.31371,29.31371,30.31371,1.0,1.0,1.0
1.0,1.0,1.0,9.485281,9.071068,8.656855,8.2426405,7.8284273,7.4142137,7.0,7.4142137,7.8284273,8.2426405,8.656855,9.071068,9.485281,9.899495,10.899495,11.899495,1.0,1.0,19.828426,19.414213,19.828426,20.242641,20.656855,21.071068,21.485281,21.899494,22.899494,23.899494,24.899494,25.899494,26.899494,27.899494,28.899494,29.899494,1.0,1.0,1.0
1.0,1.0,1.0,8.485281,8.071068,7.656854,7.2426405,6.8284273,6.4142137,6.0,6.4142137,6.8284273,7.2426405,7.656854,8.071068,8.485281,9.485281,10.485281,11.485281,1.0,1.0,18.828426,18.414213,18.828426,19.242641,19.656855,20.071068,20.485281,21.485281,22.485281,23.485281,24.485281,25.485281,26.485281,27.485281,28.485281,29.485281,1.0,1.0,1.0
1.0,1.0,1.0,8.071068,7.071068,6.656854,6.2426405,5.8284273,5.4142137,5.0,5.4142137,5.8284273,6.2426405,6.656854,7.071068,8.071068,9.071068,10.071068,11.071068,1.0,1.0,17.828426,17.414213,17.828426,18.242641,18.656855,19.071068,20.071068,21.071068,22.071068,23.071068,24.071068,25.071068,26.071068,27.071068,28.071068,29.071068,1.0,1.0,1.0
