genID,reachGoal,bC-ID,bC-C,bC-Sm,bC-Sf,bC-A,bSm-ID,bSm-C,bSm-Sm,bSm-Sf,bSm-A,bSf-ID,bSf-C,bSf-Sm,bSf-Sf,bSf-A,bA-ID,bA-C,bA-Sm,bA-Sf,bA-A,F0,F1
20,0,18.0,,,,,18.0,,,,,18.0,,,,,18.0,,,,,"HToGA_v4_10$Robot@c5054b HToGA_v4_10$Robot@1b782da HToGA_v4_10$Robot@4daab8 HToGA_v4_10$Robot@1913701 HToGA_v4_10$Robot@1e29065 HToGA_v4_10$Robot@186511 HToGA_v4_10$Robot@1bb1a40 HToGA_v4_10$Robot@1b01689 HToGA_v4_10$Robot@f2d1e2 HToGA_v4_10$Robot@16d16c0 ","HToGA_v4_10$Robot@c5054b HToGA_v4_10$Robot@1b782da HToGA_v4_10$Robot@4daab8 HToGA_v4_10$Robot@1913701 HToGA_v4_10$Robot@1e29065 HToGA_v4_10$Robot@186511 HToGA_v4_10$Robot@1bb1a40 HToGA_v4_10$Robot@1b01689 HToGA_v4_10$Robot@f2d1e2 HToGA_v4_10$Robot@16d16c0 "
21,0,18.0,,,,,18.0,,,,,18.0,,,,,18.0,,,,,"HToGA_v4_10$Robot@c5054b HToGA_v4_10$Robot@1b782da HToGA_v4_10$Robot@4daab8 HToGA_v4_10$Robot@1913701 HToGA_v4_10$Robot@1e29065 HToGA_v4_10$Robot@186511 HToGA_v4_10$Robot@1bb1a40 HToGA_v4_10$Robot@1b01689 HToGA_v4_10$Robot@f2d1e2 HToGA_v4_10$Robot@16d16c0 ","HToGA_v4_10$Robot@c5054b HToGA_v4_10$Robot@1b782da HToGA_v4_10$Robot@4daab8 HToGA_v4_10$Robot@1913701 HToGA_v4_10$Robot@1e29065 HToGA_v4_10$Robot@186511 HToGA_v4_10$Robot@1bb1a40 HToGA_v4_10$Robot@1b01689 HToGA_v4_10$Robot@f2d1e2 HToGA_v4_10$Robot@16d16c0 "
22,0,18.0,,,,,18.0,,,,,18.0,,,,,18.0,,,,,"HToGA_v4_10$Robot@c5054b HToGA_v4_10$Robot@1b782da HToGA_v4_10$Robot@4daab8 HToGA_v4_10$Robot@1913701 HToGA_v4_10$Robot@1e29065 HToGA_v4_10$Robot@186511 HToGA_v4_10$Robot@1bb1a40 HToGA_v4_10$Robot@1b01689 HToGA_v4_10$Robot@f2d1e2 HToGA_v4_10$Robot@16d16c0 ","HToGA_v4_10$Robot@c5054b HToGA_v4_10$Robot@1b782da HToGA_v4_10$Robot@4daab8 HToGA_v4_10$Robot@1913701 HToGA_v4_10$Robot@1e29065 HToGA_v4_10$Robot@186511 HToGA_v4_10$Robot@1bb1a40 HToGA_v4_10$Robot@1b01689 HToGA_v4_10$Robot@f2d1e2 HToGA_v4_10$Robot@16d16c0 "
23,0,18.0,,,,,18.0,,,,,18.0,,,,,18.0,,,,,"HToGA_v4_10$Robot@c5054b HToGA_v4_10$Robot@1b782da HToGA_v4_10$Robot@4daab8 HToGA_v4_10$Robot@1913701 HToGA_v4_10$Robot@1e29065 HToGA_v4_10$Robot@186511 HToGA_v4_10$Robot@1bb1a40 HToGA_v4_10$Robot@1b01689 HToGA_v4_10$Robot@f2d1e2 HToGA_v4_10$Robot@16d16c0 ","HToGA_v4_10$Robot@c5054b HToGA_v4_10$Robot@1b782da HToGA_v4_10$Robot@4daab8 HToGA_v4_10$Robot@1913701 HToGA_v4_10$Robot@1e29065 HToGA_v4_10$Robot@186511 HToGA_v4_10$Robot@1bb1a40 HToGA_v4_10$Robot@1b01689 HToGA_v4_10$Robot@f2d1e2 HToGA_v4_10$Robot@16d16c0 "
24,0,18.0,,,,,18.0,,,,,18.0,,,,,18.0,,,,,"HToGA_v4_10$Robot@c5054b HToGA_v4_10$Robot@1b782da HToGA_v4_10$Robot@4daab8 HToGA_v4_10$Robot@1913701 HToGA_v4_10$Robot@1e29065 HToGA_v4_10$Robot@186511 HToGA_v4_10$Robot@1bb1a40 HToGA_v4_10$Robot@1b01689 HToGA_v4_10$Robot@f2d1e2 HToGA_v4_10$Robot@16d16c0 ","HToGA_v4_10$Robot@c5054b HToGA_v4_10$Robot@1b782da HToGA_v4_10$Robot@4daab8 HToGA_v4_10$Robot@1913701 HToGA_v4_10$Robot@1e29065 HToGA_v4_10$Robot@186511 HToGA_v4_10$Robot@1bb1a40 HToGA_v4_10$Robot@1b01689 HToGA_v4_10$Robot@f2d1e2 HToGA_v4_10$Robot@16d16c0 "
25,0,18.0,,,,,18.0,,,,,18.0,,,,,18.0,,,,,"HToGA_v4_10$Robot@c5054b HToGA_v4_10$Robot@1b782da HToGA_v4_10$Robot@4daab8 HToGA_v4_10$Robot@1913701 HToGA_v4_10$Robot@1e29065 HToGA_v4_10$Robot@186511 HToGA_v4_10$Robot@1bb1a40 HToGA_v4_10$Robot@1b01689 HToGA_v4_10$Robot@f2d1e2 HToGA_v4_10$Robot@16d16c0 ","HToGA_v4_10$Robot@c5054b HToGA_v4_10$Robot@1b782da HToGA_v4_10$Robot@4daab8 HToGA_v4_10$Robot@1913701 HToGA_v4_10$Robot@1e29065 HToGA_v4_10$Robot@186511 HToGA_v4_10$Robot@1bb1a40 HToGA_v4_10$Robot@1b01689 HToGA_v4_10$Robot@f2d1e2 HToGA_v4_10$Robot@16d16c0 "
26,0,18.0,,,,,18.0,,,,,18.0,,,,,18.0,,,,,"HToGA_v4_10$Robot@c5054b HToGA_v4_10$Robot@1b782da HToGA_v4_10$Robot@4daab8 HToGA_v4_10$Robot@1913701 HToGA_v4_10$Robot@1e29065 HToGA_v4_10$Robot@186511 HToGA_v4_10$Robot@1bb1a40 HToGA_v4_10$Robot@1b01689 HToGA_v4_10$Robot@f2d1e2 HToGA_v4_10$Robot@16d16c0 ","HToGA_v4_10$Robot@c5054b HToGA_v4_10$Robot@1b782da HToGA_v4_10$Robot@4daab8 HToGA_v4_10$Robot@1913701 HToGA_v4_10$Robot@1e29065 HToGA_v4_10$Robot@186511 HToGA_v4_10$Robot@1bb1a40 HToGA_v4_10$Robot@1b01689 HToGA_v4_10$Robot@f2d1e2 HToGA_v4_10$Robot@16d16c0 "
27,0,18.0,,,,,18.0,,,,,18.0,,,,,18.0,,,,,"HToGA_v4_10$Robot@c5054b HToGA_v4_10$Robot@1b782da HToGA_v4_10$Robot@4daab8 HToGA_v4_10$Robot@1913701 HToGA_v4_10$Robot@1e29065 HToGA_v4_10$Robot@186511 HToGA_v4_10$Robot@1bb1a40 HToGA_v4_10$Robot@1b01689 HToGA_v4_10$Robot@f2d1e2 HToGA_v4_10$Robot@16d16c0 ","HToGA_v4_10$Robot@c5054b HToGA_v4_10$Robot@1b782da HToGA_v4_10$Robot@4daab8 HToGA_v4_10$Robot@1913701 HToGA_v4_10$Robot@1e29065 HToGA_v4_10$Robot@186511 HToGA_v4_10$Robot@1bb1a40 HToGA_v4_10$Robot@1b01689 HToGA_v4_10$Robot@f2d1e2 HToGA_v4_10$Robot@16d16c0 "
28,0,18.0,,,,,18.0,,,,,18.0,,,,,18.0,,,,,"HToGA_v4_10$Robot@c5054b HToGA_v4_10$Robot@1b782da HToGA_v4_10$Robot@4daab8 HToGA_v4_10$Robot@1913701 HToGA_v4_10$Robot@1e29065 HToGA_v4_10$Robot@186511 HToGA_v4_10$Robot@1bb1a40 HToGA_v4_10$Robot@1b01689 HToGA_v4_10$Robot@f2d1e2 HToGA_v4_10$Robot@16d16c0 ","HToGA_v4_10$Robot@c5054b HToGA_v4_10$Robot@1b782da HToGA_v4_10$Robot@4daab8 HToGA_v4_10$Robot@1913701 HToGA_v4_10$Robot@1e29065 HToGA_v4_10$Robot@186511 HToGA_v4_10$Robot@1bb1a40 HToGA_v4_10$Robot@1b01689 HToGA_v4_10$Robot@f2d1e2 HToGA_v4_10$Robot@16d16c0 "
29,0,18.0,,,,,18.0,,,,,18.0,,,,,18.0,,,,,"HToGA_v4_10$Robot@c5054b HToGA_v4_10$Robot@1b782da HToGA_v4_10$Robot@4daab8 HToGA_v4_10$Robot@1913701 HToGA_v4_10$Robot@1e29065 HToGA_v4_10$Robot@186511 HToGA_v4_10$Robot@1bb1a40 HToGA_v4_10$Robot@1b01689 HToGA_v4_10$Robot@f2d1e2 HToGA_v4_10$Robot@16d16c0 ","HToGA_v4_10$Robot@c5054b HToGA_v4_10$Robot@1b782da HToGA_v4_10$Robot@4daab8 HToGA_v4_10$Robot@1913701 HToGA_v4_10$Robot@1e29065 HToGA_v4_10$Robot@186511 HToGA_v4_10$Robot@1bb1a40 HToGA_v4_10$Robot@1b01689 HToGA_v4_10$Robot@f2d1e2 HToGA_v4_10$Robot@16d16c0 "
