genID,reachGoal,bC-ID,bC-C,bC-Sm,bC-Sf,bC-A,bSm-ID,bSm-C,bSm-Sm,bSm-Sf,bSm-A,bSf-ID,bSf-C,bSf-Sm,bSf-Sf,bSf-A,bA-ID,bA-C,bA-Sm,bA-Sf,bA-A
0,0,6.0,,,,,1.0,,,,,1.0,,,,,6.0,,,,
1,0,6.0,,,,,1.0,,,,,1.0,,,,,6.0,,,,
2,0,6.0,,,,,1.0,,,,,1.0,,,,,6.0,,,,
3,0,6.0,,,,,1.0,,,,,1.0,,,,,6.0,,,,
4,0,6.0,,,,,1.0,,,,,1.0,,,,,6.0,,,,
5,0,6.0,,,,,1.0,,,,,1.0,,,,,6.0,,,,
6,0,6.0,,,,,1.0,,,,,1.0,,,,,6.0,,,,
7,0,6.0,,,,,1.0,,,,,1.0,,,,,6.0,,,,
8,0,6.0,,,,,1.0,,,,,1.0,,,,,6.0,,,,
9,0,6.0,,,,,1.0,,,,,1.0,,,,,6.0,,,,
10,0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,
11,0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,
12,0,6.0,,,,,1.0,,,,,1.0,,,,,6.0,,,,
13,0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,
14,0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,
15,0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,
16,0,61.0,0.2468572,0.26530442,0.0,0.5121616,61.0,0.2468572,0.26530442,0.0,0.5121616,61.0,0.2468572,0.26530442,0.0,0.5121616,61.0,0.2468572,0.26530442,0.0,0.5121616
17,0,60.0,0.010398652,0.03932773,0.0,0.049726382,60.0,0.010398652,0.03932773,0.0,0.049726382,58.0,0.01618542,0.15701947,0.0,0.17320488,60.0,0.010398652,0.03932773,0.0,0.049726382
18,0,70.0,0.013246585,0.1230398,0.0,0.13628638,77.0,0.46417552,0.06151984,0.0,0.5256954,58.0,0.9772632,0.8769602,0.0,1.8542235,61.0,0.014592201,0.061519954,0.0,0.07611216
19,0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,
20,0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,
21,0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,
22,0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,
23,0,60.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0
24,0,51.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0
25,0,60.0,0.0,0.6453486,0.0,0.6453486,61.0,0.0,0.0,0.0,0.0,60.0,0.0,0.6453486,0.0,0.6453486,61.0,0.0,0.0,0.0,0.0
26,0,51.0,0.0,0.6453486,0.0,0.6453486,61.0,0.0,0.0,0.0,0.0,51.0,0.0,0.6453486,0.0,0.6453486,61.0,0.0,0.0,0.0,0.0
27,0,45.0,0.0,0.21684438,0.0,0.21684438,65.0,0.16159552,0.13916846,0.0,0.30076396,45.0,0.0,0.21684438,0.0,0.21684438,46.0,0.0,0.21029912,0.0,0.21029912
28,0,41.0,0.0,0.1999998,0.0,0.1999998,51.0,0.0,0.0,0.0,0.0,41.0,0.0,0.1999998,0.0,0.1999998,51.0,0.0,0.0,0.0,0.0
29,0,63.0,0.0,0.5,0.0,0.5,65.0,0.0,0.0,0.0,0.0,63.0,0.0,0.5,0.0,0.5,65.0,0.0,0.0,0.0,0.0
30,0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,
31,0,59.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0
32,0,44.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0
33,0,40.0,0.0,1.0,0.0,1.0,51.0,0.0,0.0,0.0,0.0,40.0,0.0,1.0,0.0,1.0,51.0,0.0,0.0,0.0,0.0
34,0,42.0,0.0,0.4000001,0.0,0.4000001,54.0,0.0,0.0,0.0,0.0,42.0,0.0,0.4000001,0.0,0.4000001,54.0,0.0,0.0,0.0,0.0
