genID,bestTime,reachGoal,fitness,bestGene,bestID,costScore,smoothScore,safeScore,F0,F1
0,100,F,0.0036329087,n/a,1,0.0,0.0,0.0,"0 13 24 55 ","0 13 24 55 12 164 75 15 234 "
1,100,Y,11.207583,LBFRRLBBLRLLLLFBRRRFB3FBF28FRLBLRLFBLRLRFRBFLBLFFFBBLBFBFFBFBRBLBBBBBBFRRBLFRRLBFRLRLRLBFRBBFLFBBFBB,8,91.0,0.1,0.1,"0 13 24 55 ","0 13 24 55 12 164 75 15 234 "
2,91,Y,11.321178,LBFRRLBBLRLLLLFBRRRFBFBRR8FRLRLRLFBLRLRFRBFLBLFFFBBLBFBFFBFBRBLLLLBBBFBBBBFRRLBFRLRLRRBFRBBF,22,87.0,0.1,0.1,"0 13 24 55 ","0 13 24 55 12 164 75 15 234 "
3,87,Y,12.100399,LBFRRLBBLRLLLLFBRRRFBFBF8FRLBLRLFBLRLRLRFFLBLFFBFBBBFBFFBFBBBBBBBRRBRRBLFRRLBFRLRLLRFRBB,30,69.0,0.1,0.1,"0 13 24 55 ","0 13 24 55 12 164 75 15 234 "
4,69,Y,12.100399,LBFRRLBBLRLLLLFBRRRFBFBF8FRLBLRLFBLRLRLRFFLBLFFBFBBBFBFFBFBBBBBBBRRBRR,45,69.0,0.1,0.1,"0 13 24 55 ","0 13 24 55 12 164 75 15 234 "
5,69,Y,12.100399,LBFRRLBBLRLLLLFBRRRFBFBFL8FRLBLRLLBFBBFBBFBBBFF6BBFBFBFFBFBBBBBRRFBRFF,26,69.0,0.1,0.1,"0 13 24 55 ","0 13 24 55 12 164 75 15 234 "
6,69,Y,12.366864,LBFRRLBBLRLLLRFBRRRFBFBFL8FRLBLRLLLRLLBBBFBBBFF6BBBFBFFBFBBBBRRRFBRFF,48,65.0,0.1,0.1,"0 13 24 55 ","0 13 24 55 12 164 75 15 234 "
7,65,Y,12.601457,LBFRRLBBLRL5LRFBRRRFBFBFL8FRLBLRLLLRLLLBBFBBBFFBBBFBFFBBFBBRRRFBRF,16,62.0,0.1,0.1,"0 13 24 55 ","0 13 24 55 12 164 75 15 234 "
8,62,Y,12.601457,LBFRRLRBLRL5LRFBRRFFBLLFL8FRLBLRLLLRLBFBBFBBBFBBBBFBFFBBFBBRRRF,46,62.0,0.1,0.1,"0 13 24 55 ","0 13 24 55 12 164 75 15 234 "
9,62,Y,13.305785,LBFRRLBBLLLLRRFBRRRFBLFL8FRLBLRLLLRLBBBBFBBBFBBBRFBFRRFBBRLFRR,28,55.0,0.1,0.1,"0 13 24 55 ","0 13 24 55 12 164 75 15 234 "
10,55,Y,24.7929,RBL5RRFLBFL8LLLBBBBBBBBRRRF,6,26.0,0.1,0.1,"0 13 24 55 ","0 13 24 55 12 164 75 15 234 "
11,26,Y,27.36111,RBL5RRFLL8LLLBBBBBBBBRRRF,0,24.0,0.1,0.1,"0 13 24 55 ","0 13 24 55 12 164 75 15 234 "
12,24,Y,28.903591,RBLRRFLL8LLLBBBBBBBBRRRF,22,23.0,0.1,0.1,"0 13 24 55 ","0 13 24 55 12 164 75 15 234 "
13,23,Y,32.675735,RBRFLL8LLLBBBBBBBBRRRF,0,21.0,0.1,0.1,"0 13 24 55 ","0 13 24 55 12 164 75 15 234 "
14,21,Y,32.675735,RBRFLL8LLLBBBBBBBBRRRF,0,21.0,0.1,0.1,"0 13 24 55 ","0 13 24 55 12 164 75 15 234 "
15,21,Y,32.675735,RBRFLL8LLLBBBBBBBBRRRF,0,21.0,0.1,0.1,"0 13 24 55 ","0 13 24 55 12 164 75 15 234 "
16,21,Y,32.675735,RBRFLL8LLLBBBBBBBBRRRF,0,21.0,0.1,0.1,"0 13 24 55 ","0 13 24 55 12 164 75 15 234 "
17,21,Y,32.675735,RBRFLL8LLLBBBBBBBBRRRF,0,21.0,0.1,0.1,"0 13 24 55 ","0 13 24 55 12 164 75 15 234 "
18,21,Y,32.675735,RBRFLL8LLLBBBBBBBBRRRF,0,21.0,0.1,0.1,"0 13 24 55 ","0 13 24 55 12 164 75 15 234 "
19,21,Y,32.675735,RBRFLL8LLLBBBBBBBBRRRF,0,21.0,0.1,0.1,"0 13 24 55 ","0 13 24 55 12 164 75 15 234 "
20,21,Y,32.675735,RBRFLL8LLLBBBBBBBBRRRF,0,21.0,0.1,0.1,"0 13 24 55 ","0 13 24 55 12 164 75 15 234 "
21,21,Y,32.675735,RBRFLL8LLLBBBBBBBBRRRF,0,21.0,0.1,0.1,"0 13 24 55 ","0 13 24 55 12 164 75 15 234 "
22,21,Y,32.675735,RBRFLL8LLLBBBBBBBBRRRF,0,21.0,0.1,0.1,"0 13 24 55 ","0 13 24 55 12 164 75 15 234 "
23,21,Y,32.675735,RBRFLL8LLLBBBBBBBBRRRF,0,21.0,0.1,0.1,"0 13 24 55 ","0 13 24 55 12 164 75 15 234 "
0,100,Y,16.574623,BLBBFBRLRFLFBRRFRRRLRRRLLLRLRRRBFFBBRRFLBLRRLLFLBLFBBRBLFLFLBFLRBFBRBRLRRFLBFBLRFFRBBBBBBBLRFRFRBRFR,7,39.0,0.1,0.1,"0 13 24 55 ","0 13 24 55 12 164 75 15 234 "
1,39,Y,44.602077,BLBBRFRFRRRRRBRRFLBLFLBLBRBLFLFLBRBRRFLF,0,17.0,0.1,0.1,"0 13 24 55 ","0 13 24 55 12 164 75 15 234 "
2,17,Y,44.602077,BLBBRFRFRRRRRBRRFL,0,17.0,0.1,0.1,"0 13 24 55 ","0 13 24 55 12 164 75 15 234 "
3,17,Y,44.602077,BLBBRFRFRRRRRBRRFL,0,17.0,0.1,0.1,"0 13 24 55 ","0 13 24 55 12 164 75 15 234 "
4,17,Y,54.444443,BLBBFRFRRRRRRRRFL,48,15.0,0.1,0.1,"0 13 24 55 ","0 13 24 55 12 164 75 15 234 "
5,15,Y,69.1716,BLBRFRRRRRRRRFL,0,13.0,0.1,0.1,"0 13 24 55 ","0 13 24 55 12 164 75 15 234 "
6,13,Y,69.1716,BLBRFRRRRRRRRF,0,13.0,0.1,0.1,"0 13 24 55 ","0 13 24 55 12 164 75 15 234 "
7,13,Y,69.1716,BLBRFRRRRRRRRF,0,13.0,0.1,0.1,"0 13 24 55 ","0 13 24 55 12 164 75 15 234 "
8,13,Y,79.44444,BRBRFR3RRRRRRR,37,12.0,0.1,0.1,"0 13 24 55 ","0 13 24 55 12 164 75 15 234 "
9,12,Y,92.64463,BRBRFRRRRRRRR,14,11.0,0.1,0.1,"0 13 24 55 ","0 13 24 55 12 164 75 15 234 "
10,11,Y,92.64463,BRBRFRRRRRRR,0,11.0,0.1,0.1,"0 13 24 55 ","0 13 24 55 12 164 75 15 234 "
11,11,Y,92.64463,BRBRFRRRRRRR,0,11.0,0.1,0.1,"0 13 24 55 ","0 13 24 55 12 164 75 15 234 "
12,11,Y,92.64463,BRBRFRRRRRRR,0,11.0,0.1,0.1,"0 13 24 55 ","0 13 24 55 12 164 75 15 234 "
13,11,Y,92.64463,BRBRFRRRRRRR,0,11.0,0.1,0.1,"0 13 24 55 ","0 13 24 55 12 164 75 15 234 "
14,11,Y,92.64463,BRBRFRRRRRRR,0,11.0,0.1,0.1,"0 13 24 55 ","0 13 24 55 12 164 75 15 234 "
15,11,Y,92.64463,BRBRFRRRRRRR,0,11.0,0.1,0.1,"0 13 24 55 ","0 13 24 55 12 164 75 15 234 "
16,11,Y,92.64463,BRBRFRRRRRRR,0,11.0,0.1,0.1,"0 13 24 55 ","0 13 24 55 12 164 75 15 234 "
17,11,Y,92.64463,BRBRFRRRRRRR,0,11.0,0.1,0.1,"0 13 24 55 ","0 13 24 55 12 164 75 15 234 "
18,11,Y,92.64463,BRBRFRRRRRRR,0,11.0,0.1,0.1,"0 13 24 55 ","0 13 24 55 12 164 75 15 234 "
19,11,Y,92.64463,BRBRFRRRRRRR,0,11.0,0.1,0.1,"0 13 24 55 ","0 13 24 55 12 164 75 15 234 "
0,100,Y,26.0,LRFFFFFLFRBLFRBRLLFRLRLFFLFRFFFRLRBRBRLRFLFFLLRBBBBLRLBLLRBRFLFBFFRBLBLLBLBBFBRFBRLBFFFRFFLBRRFRRFRL,30,25.0,0.1,0.1,"0 13 24 55 ","0 13 24 55 12 164 75 15 234 "
1,25,Y,28.903591,BLRFRBFFRFFFLRFLRLRFFLLFRR,36,23.0,0.1,0.1,"0 13 24 55 ","0 13 24 55 12 164 75 15 234 "
2,23,Y,69.1716,RFRFFFFFFLLFRR,0,13.0,0.1,0.1,"0 13 24 55 ","0 13 24 55 12 164 75 15 234 "
3,13,Y,69.1716,RFRFFFFFFLLFRR,0,13.0,0.1,0.1,"0 13 24 55 ","0 13 24 55 12 164 75 15 234 "
4,13,Y,92.64463,FFFFFFFRFLFRBL,5,11.0,0.1,0.1,"0 13 24 55 ","0 13 24 55 12 164 75 15 234 "
5,11,Y,92.64463,FFFFFFFRFLFR,0,11.0,0.1,0.1,"0 13 24 55 ","0 13 24 55 12 164 75 15 234 "
6,11,Y,133.45679,RFFFFFFFFLLF,40,9.0,0.1,0.1,"0 13 24 55 ","0 13 24 55 12 164 75 15 234 "
7,9,Y,133.45679,RFFFFFFFFL,0,9.0,0.1,0.1,"0 13 24 55 ","0 13 24 55 12 164 75 15 234 "
8,9,Y,133.45679,RFFFFFFFFL,0,9.0,0.1,0.1,"0 13 24 55 ","0 13 24 55 12 164 75 15 234 "
9,9,Y,133.45679,RFFFFFFFFL,0,9.0,0.1,0.1,"0 13 24 55 ","0 13 24 55 12 164 75 15 234 "
10,9,Y,133.45679,RFFFFFFFFL,0,9.0,0.1,0.1,"0 13 24 55 ","0 13 24 55 12 164 75 15 234 "
11,9,Y,133.45679,RFFFFFFFFL,0,9.0,0.1,0.1,"0 13 24 55 ","0 13 24 55 12 164 75 15 234 "
12,9,Y,133.45679,RFFFFFFFFL,0,9.0,0.1,0.1,"0 13 24 55 ","0 13 24 55 12 164 75 15 234 "
13,9,Y,133.45679,RFFFFFFFFL,0,9.0,0.1,0.1,"0 13 24 55 ","0 13 24 55 12 164 75 15 234 "
14,9,Y,133.45679,RFFFFFFFFL,0,9.0,0.1,0.1,"0 13 24 55 ","0 13 24 55 12 164 75 15 234 "
15,9,Y,133.45679,RFFFFFFFFL,0,9.0,0.1,0.1,"0 13 24 55 ","0 13 24 55 12 164 75 15 234 "
16,9,Y,133.45679,RFFFFFFFFL,0,9.0,0.1,0.1,"0 13 24 55 ","0 13 24 55 12 164 75 15 234 "
