genID,reachGoal,bC-ID,bC-C,bC-Sm,bC-Sf,bC-A,bSm-ID,bSm-C,bSm-Sm,bSm-Sf,bSm-A,bSf-ID,bSf-C,bSf-Sm,bSf-Sf,bSf-A,bA-ID,bA-C,bA-Sm,bA-Sf,bA-A
0,0,13.0,,,,,1.0,,,,,1.0,,,,,18.0,,,,
1,0,12.0,,,,,1.0,,,,,30.0,,,,,17.0,,,,
2,0,13.0,,,,,1.0,,,,,44.0,,,,,46.0,,,,
3,0,11.0,,,,,1.0,,,,,20.0,,,,,9.0,,,,
4,0,2.0,,,,,1.0,,,,,33.0,,,,,33.0,,,,
5,0,25.0,,,,,1.0,,,,,35.0,,,,,35.0,,,,
6,0,37.0,,,,,1.0,,,,,20.0,,,,,20.0,,,,
7,0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,
8,0,96.0,,,,,66.0,,,,,75.0,0.019421412,0.8983381,0.014096173,0.9318557,66.0,,,,
9,0,78.0,0.0,0.027932273,0.047558457,0.07549073,89.0,0.0045463652,0.010924244,0.07426726,0.08973787,31.0,6.860444E-4,0.04932948,0.009826627,0.05984215,31.0,6.860444E-4,0.04932948,0.009826627,0.05984215
10,0,1.0,0.0031866736,0.6755469,0.27040026,0.9491339,60.0,0.028378552,0.033070017,0.30922794,0.37067652,44.0,0.006884468,0.0643319,0.01254967,0.083766036,44.0,0.006884468,0.0643319,0.01254967,0.083766036
11,0,31.0,9.0088655E-4,0.07524044,0.05382354,0.12996487,79.0,0.037464228,0.028938415,0.11174332,0.17814597,15.0,0.002468565,0.12491143,0.04273752,0.17011753,31.0,9.0088655E-4,0.07524044,0.05382354,0.12996487
12,0,9.0,0.0017615566,0.7435835,0.1258676,0.87121266,2.0,0.93356997,0.06267958,0.107352264,1.1036018,2.0,0.93356997,0.06267958,0.107352264,1.1036018,7.0,0.019651549,0.1282082,0.21733905,0.3651988
13,0,98.0,0.017076112,0.0983921,0.2408373,0.3563055,98.0,0.017076112,0.0983921,0.2408373,0.3563055,98.0,0.017076112,0.0983921,0.2408373,0.3563055,98.0,0.017076112,0.0983921,0.2408373,0.3563055
14,0,88.0,,,,,59.0,,,,,59.0,,,,,61.0,,,,
15,0,37.0,,,,,11.0,,,,,70.0,,,,,11.0,,,,
16,0,23.0,,,,,2.0,,,,,32.0,0.5561257,0.03076985,0.034998473,0.621894,48.0,0.0,0.032797363,0.0658226,0.09861997
17,0,60.0,0.0,0.118025705,0.09508193,0.21310765,19.0,0.0038064888,0.06410059,0.2227564,0.29066348,41.0,0.016822778,0.7656578,0.076764904,0.8592454,60.0,0.0,0.118025705,0.09508193,0.21310765
18,0,10.0,0.022268921,0.13777472,0.3177964,0.47784007,62.0,0.057453003,0.027027553,0.07740119,0.16188174,62.0,0.057453003,0.027027553,0.07740119,0.16188174,62.0,0.057453003,0.027027553,0.07740119,0.16188174
19,0,12.0,0.0083914595,0.027778333,0.16889152,0.20506132,12.0,0.0083914595,0.027778333,0.16889152,0.20506132,64.0,0.024137618,0.11028422,0.10464776,0.23906961,69.0,0.030232865,0.0306806,0.12072513,0.1816386
20,0,33.0,,,,,30.0,,,,,53.0,,,,,33.0,,,,
21,0,5.0,,,,,5.0,,,,,94.0,,,,,43.0,0.025835864,0.1768468,0.19637701,0.39905968
