genID,reachGoal,bC-ID,bC-C,bC-Sm,bC-Sf,bC-A,bSm-ID,bSm-C,bSm-Sm,bSm-Sf,bSm-A,bSf-ID,bSf-C,bSf-Sm,bSf-Sf,bSf-A,bA-ID,bA-C,bA-Sm,bA-Sf,bA-A
0,0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,
1,0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,
2,0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,
3,0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,
4,0,111.0,99999.0,99999.0,99999.0,299997.0,111.0,99999.0,99999.0,99999.0,299997.0,111.0,99999.0,99999.0,99999.0,299997.0,111.0,99999.0,99999.0,99999.0,299997.0
5,0,88.0,99999.0,99999.0,99999.0,299997.0,88.0,99999.0,99999.0,99999.0,299997.0,88.0,99999.0,99999.0,99999.0,299997.0,88.0,99999.0,99999.0,99999.0,299997.0
6,0,0.0,1.0,1.0,99999.0,100001.0,0.0,1.0,1.0,99999.0,100001.0,58.0,99999.0,99999.0,1.0,199999.0,0.0,1.0,1.0,99999.0,100001.0
7,0,2.0,0.6111111,99999.0,1.0,100000.61,106.0,99999.0,0.37947688,99999.0,199998.38,1.0,99999.0,99999.0,1.0,199999.0,0.0,0.79245275,0.79209465,99999.0,100000.586
8,0,1.0,99999.0,99999.0,99999.0,299997.0,1.0,99999.0,99999.0,99999.0,299997.0,1.0,99999.0,99999.0,99999.0,299997.0,1.0,99999.0,99999.0,99999.0,299997.0
9,0,1.0,99999.0,99999.0,99999.0,299997.0,1.0,99999.0,99999.0,99999.0,299997.0,1.0,99999.0,99999.0,99999.0,299997.0,1.0,99999.0,99999.0,99999.0,299997.0
10,0,50.0,0.53749985,0.5406773,99999.0,100000.08,85.0,99999.0,0.4593227,99999.0,199998.47,0.0,99999.0,99999.0,0.21672162,199998.22,50.0,0.53749985,0.5406773,99999.0,100000.08
11,0,2.0,0.47142842,0.36001807,99999.0,99999.83,2.0,0.47142842,0.36001807,99999.0,99999.83,39.0,99999.0,0.4593227,0.0,99999.46,39.0,99999.0,0.4593227,0.0,99999.46
12,0,1.0,0.26093027,0.4756743,0.3485087,1.0851133,25.0,0.30324313,0.3491301,0.27297932,0.9253525,0.0,0.34000006,99999.0,0.07552937,99999.42,25.0,0.30324313,0.3491301,0.27297932,0.9253525
13,0,1.0,0.26093027,0.18610981,0.3485087,0.7955488,1.0,0.26093027,0.18610981,0.3485087,0.7955488,0.0,0.34000006,99999.0,0.07552937,99999.42,1.0,0.26093027,0.18610981,0.3485087,0.7955488
14,0,44.0,0.15073533,0.41068393,0.63342017,1.1948395,68.0,0.40331882,0.2036613,0.092258915,0.699239,68.0,0.40331882,0.2036613,0.092258915,0.699239,68.0,0.40331882,0.2036613,0.092258915,0.699239
