genID,bestTime,reachGoal,bestFitness,bestGene,bestID,ID 0 Fitness
0,100,Y,18.163265,RLLBRLBLBBFBFBRLBFBBFBBRRFFBLBRRRLBFRBBRLFRBRLBLBLRRRRBRBFLFRLLRBLFLLBBLBLFBLBBRRLFFRBRBFFFLBBFFRRRB,2,5.0
1,35,Y,32.675735,BRLLRBRLLLBBBBBLBRRRBLLFFBBRBBFBRRBL,32,0.0077101
2,21,Y,54.444443,BBLLBBBBBLBRRRBLBBRRBL,0,54.444443
3,15,Y,61.02041,LB5LBBBBBLBRRBLB,46,54.444443
4,14,Y,79.44444,LB5LBBBBBBBRRBL,41,61.02041
5,12,Y,79.44444,LB5LBBBBBBBRR,0,79.44444
6,12,Y,110.0,B5BBBBBBBBRR,22,79.44444
7,10,Y,110.0,B5BBBBBBBBR,0,110.0
8,10,Y,110.0,B5BBBBBBBBR,0,110.0
9,10,Y,110.0,B5BBBBBBBBR,0,110.0
10,10,Y,110.0,B5BBBBBBBBR,0,110.0
11,10,Y,110.0,B5BBBBBBBBR,0,110.0
12,10,Y,110.0,B5BBBBBBBBR,0,110.0
13,10,Y,110.0,B5BBBBBBBBR,0,110.0
14,10,Y,110.0,B5BBBBBBBBR,0,110.0
15,10,Y,110.0,B5BBBBBBBBR,0,110.0
16,10,Y,110.0,B5BBBBBBBBR,0,110.0
0,100,Y,20.405827,RBFBBLLLRRLRLRRRLRRRRRLRFRFRBRFFLBLLRFFRLBFRRLRLBRLRFRRBFRBRLLBLLRBRBBFRBFFFLRBRLFFRFBRRFFRFBBBLBBLB,46,0.12195122
1,31,Y,54.444443,RBBRRRRRFRFRBRFFLBLFFRBRFRRRBLBL,0,54.444443
2,15,Y,69.1716,RBRRRRRFRFRBRFFL,21,54.444443
3,13,Y,69.1716,RBRRRRRFRFRBRF,0,69.1716
4,13,Y,79.44444,R4BRRRRRFRRRBR,7,69.1716
5,12,Y,92.64463,RBRRRRRFRRRBR,5,79.44444
6,11,Y,92.64463,RBRRRRRFRRRB,0,92.64463
7,11,Y,92.64463,RBRRRRRFRRRB,0,92.64463
8,11,Y,92.64463,RBRRRRRFRRRB,0,92.64463
9,11,Y,92.64463,RBRRRRRFRRRB,0,92.64463
10,11,Y,92.64463,RBRRRRRFRRRB,0,92.64463
11,11,Y,133.45679,RRRRRRRRRRB,11,92.64463
12,9,Y,133.45679,RRRRRRRRRR,0,133.45679
13,9,Y,133.45679,RRRRRRRRRR,0,133.45679
14,9,Y,133.45679,RRRRRRRRRR,0,133.45679
15,9,Y,133.45679,RRRRRRRRRR,0,133.45679
16,9,Y,133.45679,RRRRRRRRRR,0,133.45679
17,9,Y,133.45679,RRRRRRRRRR,0,133.45679
18,9,Y,133.45679,RRRRRRRRRR,0,133.45679
19,9,Y,133.45679,RRRRRRRRRR,0,133.45679
20,9,Y,133.45679,RRRRRRRRRR,0,133.45679
21,9,Y,133.45679,RRRRRRRRRR,0,133.45679
0,100,Y,37.70083,LRBFFLRRFFFFFFBFLLFFLFRLFLBLLRBRBLLFFRBRRRLRFRRFBFRRFLRBBBBFBRFRRBBFBRLFFLRRRFFFBRFRLFFLBFBLLRLLFRFB,1,0.0045974557
1,19,Y,37.70083,LRBFFLRRFFFFFFBFLLFF,5,5.0
2,19,Y,44.602077,LRBFFLRRFFFFFFLFLLFF,2,5.0
3,17,Y,44.602077,LRBFFLRRFFFFFFLFLL,3,5.0
4,17,Y,44.602077,LRBRFLRFFFFFFFLFLL,9,5.0
5,17,Y,44.602077,LRBFFRFF8FFFFFLFLB,1,5.0
6,17,Y,44.602077,LRBFFLRRFFFFFFLFLL,2,0.0036329087
7,17,Y,44.602077,LRBFFLRFRFFFFFLFLL,2,5.0
8,17,Y,44.602077,LRBFFLRFRFFFFFLFLL,1,5.0
9,17,Y,44.602077,LRBFFLRRFFFFFFLFLL,2,5.0
10,17,Y,44.602077,LRBFFLRRFFFFFFLFLL,1,5.0
11,17,Y,44.602077,LRFFRLRFBFFFFFLFLL,1,5.0
12,17,Y,44.602077,LRBFFLFRRFFFFFLFLL,2,5.0
