genID,bestTime,reachGoal,bestFitness,bestGene,bestID,ID 0 Fitness
0,100,F,0.0021659103,n/a,2,0.0014767338
1,100,F,0.013219809,n/a,30,0.0021659103
2,100,F,5.0,n/a,47,0.0017802549
3,100,Y,13.07787,BRLFBLBRRFBFBLRLRFBF8LLLRLLRFLBRFBLFLBBBBBBBBBBBFFBBRRFRFBBRFLRRBFLLBRLRLBFBFFFBF2RBFBLBLFRFBLRLBBBB,41,0.5882353
4,57,Y,19.182735,BLBRRF8LLLFLLBBBBBBBBBBBRRFRBRFLF2RBLBLBBB,0,19.182735
5,33,Y,23.717422,BLBRRF8LLLFLRBBLLBBBBBBBRRRRBRFRF2,39,19.182735
6,27,Y,28.903591,BLBRRF8LLLBLLBBBBBBBRRRRBRFR,0,28.903591
7,23,Y,28.903591,BLBRRF8LLLBLLBBBBBBBRRRR,0,28.903591
8,23,Y,28.903591,BLBRRF8LLLBLLBBBBBBBRRRR,0,28.903591
9,23,Y,28.903591,BLBRRF8LLLBLLBBBBBBBRRRR,0,28.903591
10,23,Y,28.903591,BLBRRF8LLLBLLBBBBBBBRRRR,0,28.903591
11,23,Y,28.903591,BLBRRF8LLLBLLBBBBBBBRRRR,0,28.903591
12,23,Y,28.903591,BLBRRF8LLLBLLBBBBBBBRRRR,0,28.903591
13,23,Y,28.903591,BLBRRF8LLLBLLBBBBBBBRRRR,0,28.903591
14,23,Y,28.903591,BLBRRF8LLLBLLBBBBBBBRRRR,0,28.903591
15,23,Y,30.661158,B1BRBF8LLLLLBBBBBBBRRRR,14,28.903591
16,22,Y,35.0,B1BR8LLLLLBBBBBBBRRRR,0,35.0
17,20,Y,37.70083,BBR8LLLLLBBBBBBBRRRR,7,35.0
18,19,Y,37.70083,BBR8LLLLLBBBBBBBRRRR,0,37.70083
19,19,Y,37.70083,BBR8LLLLLBBBBBBBRRRR,0,37.70083
20,19,Y,37.70083,BBR8LLLLLBBBBBBBRRRR,0,37.70083
21,19,Y,37.70083,BBR8LLLLLBBBBBBBRRRR,0,37.70083
22,19,Y,37.70083,BBR8LLLLLBBBBBBBRRRR,0,37.70083
23,19,Y,37.70083,BBR8LLLLLBBBBBBBRRRR,0,37.70083
24,19,Y,37.70083,BBR8LLLLLBBBBBBBRRRR,0,37.70083
25,19,Y,37.70083,BBR8LLLLLBBBBBBBRRRR,0,37.70083
26,19,Y,37.70083,BBR8LLLLLBBBBBBBRRRR,0,37.70083
27,19,Y,37.70083,BBR8LLLLLBBBBBBBRRRR,0,37.70083
0,100,Y,26.0,FRFRRRBBRBRRRLLFFBRRRBLFFBRRBFRFFBFLFBLBRFFBRRBBFBRFBBBFRBRBFLLFFLLLRRBRRRBBRFFBLBFFLFBFRBLRRRBRRBLF,25,13.559986
1,25,Y,69.1716,FRFRRRBFRBRRRLLFFBRRRBLFFB,16,5.0
2,13,Y,69.1716,FRFRRRBFRBRRRL,8,5.0
3,13,Y,69.1716,FRFRRRFBRBRRRL,1,5.0
4,13,Y,69.1716,FRFRRRBFRBRRRL,1,5.0
5,13,Y,69.1716,FRFRRRBFRBRRRL,1,5.0
6,13,Y,69.1716,FRFRRRBFRBRRRL,2,5.0
7,13,Y,92.64463,FRFRRRRRRBRRRL,25,5.0
8,11,Y,92.64463,FRFRRRRRRBRR,0,92.64463
9,11,Y,92.64463,FRFRRRRRRBRR,0,92.64463
10,11,Y,133.45679,FRRRRRRRRRR,32,92.64463
11,9,Y,133.45679,FRRRRRRRRR,0,133.45679
12,9,Y,133.45679,FRRRRRRRRR,0,133.45679
13,9,Y,133.45679,FRRRRRRRRR,0,133.45679
14,9,Y,133.45679,FRRRRRRRRR,0,133.45679
15,9,Y,133.45679,FRRRRRRRRR,0,133.45679
16,9,Y,133.45679,FRRRRRRRRR,0,133.45679
17,9,Y,133.45679,FRRRRRRRRR,0,133.45679
18,9,Y,133.45679,FRRRRRRRRR,0,133.45679
19,9,Y,133.45679,FRRRRRRRRR,0,133.45679
20,9,Y,133.45679,FRRRRRRRRR,0,133.45679
0,100,Y,21.890606,BRFRFFLBRBBFLRFLRFFFFFFLRFBLLBRRLLRLLLBLFFFRBFFFFRLBBLRBLLLLRBLFBRRBBFBLRBRRFLLLRBRRBFBBBLLRFRLLBBLL,3,5.0
1,29,Y,44.602077,BRFRFFLBRFFFFFFLLBLLBLFFFLLBRB,0,44.602077
2,17,Y,44.602077,BRFRFFLBRFFFFFFLLB,0,44.602077
3,17,Y,54.444443,BBFFFFLBRFFFFFFLLB,13,44.602077
4,15,Y,61.02041,BRF4FFFBLFFFFFFL,16,0.5882353
5,14,Y,79.44444,BRF4FFLFFFFFFL,0,79.44444
6,12,Y,92.64463,BRFFFLFFFFFFL,2,79.44444
7,11,Y,92.64463,BRFFFLFFFFFF,0,92.64463
8,11,Y,133.45679,BFFFFFFFFFF,8,92.64463
9,9,Y,133.45679,BFFFFFFFFF,42,10.0
10,9,Y,133.45679,BFFFFFFFFF,4,5.0
11,9,Y,133.45679,BFFFFFFFFF,1,5.0
12,9,Y,133.45679,BFFFFFFFFF,1,5.0
13,9,Y,133.45679,BFFFFFFFFF,1,5.0
14,9,Y,133.45679,BFFFFFFFFF,1,5.0
15,9,Y,133.45679,BFFFFFFFFF,1,5.0
16,9,Y,133.45679,BFFFFFFFFF,1,5.0
17,9,Y,133.45679,BFFFFFFFFL,1,5.0
18,9,Y,133.45679,BFFFFFFFFF,1,0.5882353
