genID,bestTime,reachGoal,bestFitness,bestGene,bestID,ID 0 Fitness
0,100,Y,19.182735,LLLLBRLFLFBLFBBRBRLLLFLRLBRFBFFLLBLFFLRRRRFBRFLBRFLRLFLFFBRRBBBBBBLBBLRBRLBFFBLBLLRRRBRFRLRFLLBFBFFR,23,12.227668
1,33,F,5.0,n/a,0,5.0
2,33,F,5.0,n/a,0,5.0
3,33,Y,32.675735,LLLLBBBBBRLBRBRFRRLBBFFRRRRRLBRFLB,17,5.0
4,21,Y,32.675735,LLLLBBBBBRLBRBRFRRLBBF,21,5.0
5,21,Y,54.444443,LLLLBBBBBBRBRBRFRRLBBF,5,5.0
6,15,Y,69.1716,5LLBBBBBBRBBRBRF,13,54.444443
7,13,Y,69.1716,5LLBBBBBBRBBRB,0,69.1716
8,13,Y,69.1716,5LLBBBBBBRBBRB,0,69.1716
9,13,Y,69.1716,5LLBBBBBBRBBRB,0,69.1716
10,13,Y,69.1716,5LLBBBBBBRBBRB,0,69.1716
11,13,Y,69.1716,5LLBBBBBBRBBRB,0,69.1716
12,13,Y,69.1716,5LLBBBBBBRBBRB,0,69.1716
13,13,Y,69.1716,5LLBBBBBBRBBRB,0,69.1716
14,13,Y,69.1716,5LLBBBBBBRBBRB,0,69.1716
15,13,Y,69.1716,5LLBBBBBBRBBRB,0,69.1716
16,13,Y,69.1716,5LLBBBBBBRBBRB,0,69.1716
0,100,Y,28.903591,BBRRBRRLLFBRRRRLRRLRFRFRLFRRLRRRBFFRBFRLRFRBFLLBRLBBLLLBLBBLLBRBBLBLBFBBRRRLRRRRLRFRLBLLRBFFFBFLBFBF,15,0.0029085209
1,23,Y,69.1716,BBRRBRRRRRFRFFRRRRFRRFLB,0,69.1716
2,13,Y,69.1716,BBRRBRRRRRFRFF,0,69.1716
3,13,Y,69.1716,BBRRBRRRRRFRFF,0,69.1716
4,13,Y,69.1716,BBRRBRRRRRFRFF,0,69.1716
5,13,Y,69.1716,BBRRBRRRRRFRFF,0,69.1716
6,13,Y,69.1716,BBRRBRRRRRFRFF,0,69.1716
7,13,Y,69.1716,BBRRBRRRRRFRFF,0,69.1716
8,13,Y,69.1716,BBRRBRRRRRFRFF,0,69.1716
9,13,Y,69.1716,BBRRBRRRRRFRFF,0,69.1716
10,13,Y,69.1716,BBRRBRRRRRFRFF,0,69.1716
11,13,Y,69.1716,BBRRBRRRRRFRFF,0,69.1716
0,100,Y,23.717422,RFFFRRBLFFRFLLRFLLLFRBFLRFRBLRBBBFFBLRBLLBLFRLLBBRLLRFLFBBFRBFRRRBRFRFLFBRRLBRRFRLLFLBFRRBBFBFBFLFFF,8,0.5882353
1,27,Y,44.602077,RFFFRRBFFFFFLLRFLLLFRBFLRFRB,37,32.675735
2,17,Y,69.1716,RFFFRRFFFFLFLLLFRF,0,69.1716
3,13,Y,92.64463,RFFFRFFLFFFFLL,24,69.1716
4,11,Y,92.64463,RFFFRFFLFFFF,0,92.64463
5,11,Y,92.64463,RFFFRFFLFFFF,0,92.64463
6,11,Y,110.0,RFFF1FFFFFLF,14,92.64463
7,10,Y,133.45679,RFFFFFFFFFL,23,110.0
8,9,Y,133.45679,RFFFFFFFFF,0,133.45679
9,9,Y,133.45679,RFFFFFFFFF,0,133.45679
10,9,Y,133.45679,RFFFFFFFFF,0,133.45679
11,9,Y,133.45679,RFFFFFFFFF,0,133.45679
12,9,Y,133.45679,RFFFFFFFFF,0,133.45679
13,9,Y,133.45679,RFFFFFFFFF,0,133.45679
14,9,Y,133.45679,RFFFFFFFFF,0,133.45679
15,9,Y,133.45679,RFFFFFFFFF,0,133.45679
16,9,Y,133.45679,RFFFFFFFFF,0,133.45679
17,9,Y,133.45679,RFFFFFFFFF,0,133.45679
