genID,bestTime,reachGoal,bestFitness,bestGene,bestID,ID 0 Fitness
0,100,F,0.0011497602,n/a,7,5.6003304E-5
1,100,F,0.0026618666,n/a,94,0.0011497602
2,100,F,0.28595474,n/a,82,0.0017802549
3,100,F,5.0,n/a,31,0.018364491
4,100,Y,11.08507,LLLLFLLBRFLFBRRLBRLFB7BBBBRBLBBFFFFFRLBBRBLBRF5LBFBRRRL4LRRRRRRRBBFBRBBBFLLBFBLLRLLLLLBBRBRRBBBBLRRF,83,0.07305548
5,96,Y,12.777778,LLLLFLLBR7BBBBRBLFRBLBRF5LBRR4RRRRRRBBRBBLLBLLLLLLBBRBRRBBBBRF,0,12.777778
6,60,Y,12.872738,LLLLFLBRBBBBBBLFRBLBRF5LBRR4RRRRRRBFRBBBLBLLLLLLBBLBRRBBBBRF,64,12.777778
7,59,Y,13.07787,LLLLFLBRBBBBBBLFRBLBRF5LBRR4RRRRRRRBBBLBLLLLLLBBLBRRBBBBRF,0,13.07787
8,57,Y,13.07787,LLLLFLBRBBBBBBLFRBLBRF5LBRR4RRRRRRRBBBLBLLLLLLBBLBRRBBBBRF,0,13.07787
9,57,Y,13.305785,LLLLFLBRBBBBBBLFRBLBRF5LBRR4RRRRRRRBBBLBLLLLLLBBBRRBBBBRF,97,13.07787
10,55,Y,13.305785,LLLLFLBRBBBBBBLFRBLBRF5LBRR4RRRRRRRBBBLBLLLLLLBBBRRBBBBR,0,13.305785
11,55,Y,13.305785,LLLLFLBRBBBBBBLFRBLBRF5LBRR4RRRRRRRBBBLBLLLLLLBBBRRBBBBR,0,13.305785
12,55,Y,13.305785,LLLLFLBRBBBBBBLFRBLBRF5LBRR4RRRRRRRBBBLBLLLLLLBBBRRBBBBR,0,13.305785
13,55,Y,13.429356,LLLLFLBRBBBBBBLFRBLBRFLBRR4RRRRRRRBBBLBLLLLLLBBBRRBBBBR,55,13.305785
14,54,Y,13.429356,LLLLFLBRBBBBBBLFRBLBRFLBRR4RRRRRRRBBBLBLLLLLLBBBRRBBBBR,0,13.429356
15,54,Y,13.429356,LLLLFLBRBBBBBBLFRBLBRFLBRR4RRRRRRRBBBLBLLLLLLBBBRRBBBBR,0,13.429356
16,54,Y,13.559986,LLBFLB7BBLBBBLFRBRRRLLLRR4RRRRRRBBBBLBLLLLLLBBBRRBBBBR,47,13.429356
17,53,Y,14.9382715,LLLB7BBLBBBLFRBRR4RRRRRRBBBBLBLLLLLLBBBRRBBBBR,0,14.9382715
18,45,Y,15.165289,LLLBBBLBBBLFRBRR4RRRRRRBBBBLBLLLLLLBBBRRBBBB6,14,14.9382715
19,44,Y,15.408329,LLB7BBLBBBFBLRR4RRRRRRBBBBLBLLLLLLBBBRRBBBBR,64,15.165289
20,43,Y,16.574623,LLB7BBLBBBR4RRRRRRBBBBLBLLLLLLBBBRRBBBBR,0,16.574623
21,39,Y,16.574623,LLB7BBLBBBR4RRRRRRBBBBLBLLLLLLBBBRRBBBBR,0,16.574623
22,39,Y,16.574623,LLB7BBLBBBR4RRRRRRBBBBLBLLLLLLBBBRRBBBBR,0,16.574623
23,39,Y,16.574623,LLB7BBLBBBR4RRRRRRBBBBLBLLLLLLBBBRRBBBBR,0,16.574623
24,39,Y,16.574623,LLB7BBLBBBR4RRRRRRBBBBLBLLLLLLBBBRRBBBBR,0,16.574623
25,39,Y,16.574623,LLB7BBLBBBR4RRRRRRBBBBLBLLLLLLBBBRRBBBBR,0,16.574623
26,39,Y,16.574623,LLB7BBLBBBR4RRRRRRBBBBLBLLLLLLBBBRRBBBBR,0,16.574623
27,39,Y,16.574623,LLB7BBLBBBR4RRRRRRBBBBLBLLLLLLBBBRRBBBBR,0,16.574623
28,39,Y,16.925207,LLB4BBLBBBRRRRRRRBBBBLBLLLLLLBBBRRBBBBB,73,16.574623
29,38,Y,16.925207,LLB4BBLBBBRRRRRRRBBBBLBLLLLLLBBBRRBBBBB,0,16.925207
30,38,Y,16.925207,LLB4BBLBBBRRRRRRRBBBBLBLLLLLLBBBRRBBBBB,0,16.925207
31,38,Y,16.925207,LLB4BBLBBBRRRRRRRBBBBLBLLLLLLBBBRRBBBBB,0,16.925207
32,38,Y,16.925207,LLB4BBLBBBRRRRRRRBBBBLBLLLLLLBBBRRBBBBB,0,16.925207
33,38,Y,16.925207,LLB4BBLBBBRRRRRRRBBBBLBLLLLLLBBBRRBBBBB,0,16.925207
34,38,Y,16.925207,LLB4BBLBBBRRRRRRRBBBBLBLLLLLLBBBRRBBBBB,0,16.925207
35,38,Y,16.925207,LLB4BBLBBBRRRRRRRBBBBLBLLLLLLBBBRRBBBBB,0,16.925207
36,38,Y,16.925207,LLB4BBLBBBRRRRRRRBBBBLBLLLLLLBBBRRBBBBB,0,16.925207
37,38,Y,16.925207,LLB4BBLBBBRRRRRRRBBBBLBLLLLLLBBBRRBBBBB,0,16.925207
38,38,Y,16.925207,LLB4BBLBBBRRRRRRRBBBBLBLLLLLLBBBRRBBBBB,0,16.925207
39,38,Y,16.925207,LLB4BBLBBBRRRRRRRBBBBLBLLLLLLBBBRRBBBBB,0,16.925207
