genID,bestTime,reachGoal,bestFitness,bestGene,bestID,ID 0 Fitness
0,100,Y,26.0,FLBLLBLRLLLLRLRFFBFBLFBLFLBFRBFLLRRRLFLLRBBRLFBBRBLFRFBLFBLFFBBLLBLLLBRLLFLBFLBBFRRRFFFFRFRBBRRFBBFF,2,0.008658014
1,25,F,5.0,n/a,0,5.0
2,25,Y,32.675735,FLBLLBBBBFBFBBRRRBRBLFBLFL,28,5.0
3,21,Y,44.602077,FLBLLBBBBBRRRBRBLLFL,0,44.602077
4,17,Y,44.602077,FLBLLBBBBBRRRBRBLL,0,44.602077
5,17,Y,44.602077,FLBLLBBBBBRRRBRBLL,0,44.602077
6,17,Y,54.444443,FLBLLBBBBBRRBRBLF,13,44.602077
7,15,Y,61.02041,FLB5LBBBBBRBRB3B,10,54.444443
8,14,Y,61.02041,FLB5LBBBBBRBRB3,0,61.02041
9,14,Y,61.02041,FLB5LBBBBBRBRB3,0,61.02041
10,14,Y,61.02041,FLB5LBBBBBRBRB3,0,61.02041
11,14,Y,61.02041,FLB5LBBBBBRBRB3,0,61.02041
12,14,Y,61.02041,FLB5LBBBBBRBRB3,0,61.02041
13,14,Y,61.02041,FLB5LBBBBBRBRB3,0,61.02041
14,14,Y,61.02041,FLB5LBBBBBRBRB3,0,61.02041
15,14,Y,61.02041,FLB5LBBBBBRBRB3,0,61.02041
16,14,Y,61.02041,FLB5LBBBBBRBRB3,0,61.02041
17,14,Y,61.02041,FLB5LBBBBBRBRB3,0,61.02041
0,100,Y,20.405827,LFFLLBBRRRRRLRRLLBFRRRRLRBRBRFFLFRBFFBBBFLRLBRRBRLBBLLLRBFFLRBLLRFRLBLLFFBBBLRFRFRFLRRBLRFRRBFBRRBBF,3,0.038910504
1,31,Y,44.602077,LBFFRFBBRRRRRRLRRFRBLLBLLFLLRRRR,28,32.675735
2,17,Y,92.64463,LFRBRRRRRRRFRBLLBL,0,92.64463
3,11,Y,92.64463,LFRBRRRRRRRF,0,92.64463
4,11,Y,133.45679,LRRRRRRRRRRF,9,92.64463
5,9,Y,133.45679,RRRRRRRRRF,0,133.45679
6,9,Y,133.45679,RRRRRRRRRF,0,133.45679
7,9,Y,133.45679,RRRRRRRRRF,0,133.45679
8,9,Y,133.45679,RRRRRRRRRF,0,133.45679
9,9,Y,133.45679,RRRRRRRRRF,0,133.45679
10,9,Y,166.25,RRRRRRRRRR,47,133.45679
11,8,F,10.0,n/a,0,10.0
12,8,F,10.0,n/a,0,10.0
13,8,F,10.0,n/a,0,10.0
14,8,F,10.0,n/a,0,10.0
15,8,Y,166.25,RRRRRRRRR,22,10.0
16,8,F,10.0,n/a,0,10.0
17,8,F,10.0,n/a,0,10.0
18,8,F,10.0,n/a,0,10.0
19,8,F,10.0,n/a,0,10.0
20,8,F,10.0,n/a,0,10.0
21,8,F,10.0,n/a,0,10.0
22,8,F,10.0,n/a,0,10.0
23,8,F,10.0,n/a,0,10.0
24,8,Y,166.25,RRRRRRRRR,35,10.0
25,8,F,10.0,n/a,0,10.0
26,8,F,10.0,n/a,0,10.0
27,8,F,10.0,n/a,0,10.0
28,8,F,10.0,n/a,0,10.0
29,8,F,10.0,n/a,0,10.0
30,8,F,10.0,n/a,0,10.0
31,8,F,10.0,n/a,0,10.0
32,8,F,10.0,n/a,0,10.0
33,8,F,10.0,n/a,0,10.0
34,8,F,10.0,n/a,0,10.0
35,8,F,10.0,n/a,0,10.0
36,8,F,10.0,n/a,0,10.0
37,8,F,10.0,n/a,0,10.0
38,8,F,10.0,n/a,0,10.0
39,8,F,10.0,n/a,0,10.0
40,8,F,10.0,n/a,0,10.0
41,8,F,10.0,n/a,0,10.0
42,8,F,10.0,n/a,0,10.0
43,8,F,10.0,n/a,0,10.0
44,8,F,10.0,n/a,0,10.0
45,8,F,10.0,n/a,0,10.0
46,8,F,10.0,n/a,0,10.0
47,8,F,10.0,n/a,0,10.0
48,8,Y,166.25,RRRRRRRRR,11,10.0
49,8,F,10.0,n/a,0,10.0
50,8,F,10.0,n/a,0,10.0
51,8,F,10.0,n/a,0,10.0
52,8,F,10.0,n/a,0,10.0
53,8,F,10.0,n/a,0,10.0
54,8,F,10.0,n/a,0,10.0
55,8,F,10.0,n/a,0,10.0
56,8,F,10.0,n/a,0,10.0
57,8,F,10.0,n/a,0,10.0
58,8,F,10.0,n/a,0,10.0
59,8,Y,166.25,RRRRRRRRR,8,10.0
60,8,F,10.0,n/a,0,10.0
61,8,F,10.0,n/a,0,10.0
62,8,F,10.0,n/a,0,10.0
63,8,F,10.0,n/a,0,10.0
64,8,F,10.0,n/a,0,10.0
65,8,F,10.0,n/a,0,10.0
66,8,F,10.0,n/a,0,10.0
67,8,F,10.0,n/a,0,10.0
68,8,F,10.0,n/a,0,10.0
69,8,F,10.0,n/a,0,10.0
70,8,Y,166.25,RRRRRRRRR,19,10.0
71,8,F,10.0,n/a,0,10.0
72,8,F,10.0,n/a,0,10.0
73,8,F,10.0,n/a,0,10.0
74,8,F,10.0,n/a,0,10.0
75,8,F,10.0,n/a,0,10.0
76,8,F,10.0,n/a,0,10.0
77,8,F,10.0,n/a,0,10.0
78,8,F,10.0,n/a,0,10.0
79,8,F,10.0,n/a,0,10.0
80,8,F,10.0,n/a,0,10.0
81,8,F,10.0,n/a,0,10.0
82,8,F,10.0,n/a,0,10.0
