genID,reachGoal,bC-ID,bC-C,bC-Sm,bC-Sf,bC-A,bSm-ID,bSm-C,bSm-Sm,bSm-Sf,bSm-A,bSf-ID,bSf-C,bSf-Sm,bSf-Sf,bSf-A,bA-ID,bA-C,bA-Sm,bA-Sf,bA-A
0,0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,
1,0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,
2,0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,
3,0,143.0,99999.0,99999.0,99999.0,299997.0,143.0,99999.0,99999.0,99999.0,299997.0,143.0,99999.0,99999.0,99999.0,299997.0,143.0,99999.0,99999.0,99999.0,299997.0
4,0,50.0,99999.0,99999.0,99999.0,299997.0,50.0,99999.0,99999.0,99999.0,299997.0,50.0,99999.0,99999.0,99999.0,299997.0,50.0,99999.0,99999.0,99999.0,299997.0
5,0,60.0,0.3555556,99999.0,0.18375017,99999.55,1.0,99999.0,0.6489405,99999.0,199998.66,60.0,0.3555556,99999.0,0.18375017,99999.55,62.0,0.6949891,0.82192177,0.9482627,2.4651735
6,0,72.0,1.0,99999.0,99999.0,199999.0,2.0,99999.0,1.0,1.0,100001.0,2.0,99999.0,1.0,1.0,100001.0,2.0,99999.0,1.0,1.0,100001.0
7,0,21.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0
8,0,53.0,0.08703689,0.11794112,0.0,0.20497802,4.0,0.27173057,0.07407601,0.04196842,0.387775,53.0,0.08703689,0.11794112,0.0,0.20497802,53.0,0.08703689,0.11794112,0.0,0.20497802
9,0,26.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,3.0,0.10769213,0.15709566,0.0,0.2647878,26.0,0.0,0.0,0.0,0.0
10,0,23.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0
11,0,15.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0
12,0,10.0,0.0,0.0,0.4818055,0.4818055,10.0,0.0,0.0,0.4818055,0.4818055,12.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0
13,0,7.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
14,0,7.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
15,0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
16,0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
17,0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
18,0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
19,0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
