0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,17.899494,17.485281,17.899494,18.31371,18.727922,19.142136,19.556349,19.970562,20.384775,20.79899,21.213203,22.213203,23.213203
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.899494,16.485281,16.899494,17.31371,17.727922,18.142136,18.556349,18.970562,19.384775,19.79899,20.79899,21.79899,22.79899
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15.899495,15.485281,15.899495,16.31371,16.727922,17.142136,17.556349,17.970562,18.384775,19.384775,20.384775,21.384775,22.384775
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.899495,14.485281,14.899495,15.313708,15.7279215,16.142136,16.556349,16.970562,17.970562,18.970562,19.970562,20.970562,21.970562
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.899495,13.485281,13.899495,14.313708,14.7279215,15.142136,15.556349,16.556349,17.556349,18.556349,19.556349,20.556349,21.556349
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.899495,12.485281,12.899495,13.313708,13.7279215,14.142136,15.142136,16.142136,17.142136,18.142136,19.142136,20.142136,21.142136
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11.899495,11.485281,11.899495,12.313708,12.7279215,13.7279215,14.7279215,15.7279215,16.727922,17.727922,18.727922,19.727922,20.727922
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.899495,10.485281,10.899495,11.313708,12.313708,13.313708,14.313708,15.313708,16.31371,17.31371,18.31371,19.31371,20.31371
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.899495,9.485281,9.899495,10.899495,11.899495,12.899495,13.899495,14.899495,15.899495,16.899494,17.899494,18.899494,19.899494
28.485281,27.485281,26.485281,25.485281,24.485281,23.485281,22.485281,21.485281,20.485281,19.485281,18.485281,18.071068,17.656855,17.242641,16.828426,16.414213,16.828426,11.485281,10.485281,9.485281,8.485281,8.071068,7.656854,7.2426405,6.8284273,6.4142137,6.0,6.4142137,6.8284273,7.2426405,7.656854,8.071068,8.485281,9.485281,10.485281,11.485281,12.485281,13.485281,14.485281,15.485281,16.485281,17.485281,18.485281,19.485281
