genID,reachGoal,bC-ID,bC-C,bC-Sm,bC-Sf,bC-A,bSm-ID,bSm-C,bSm-Sm,bSm-Sf,bSm-A,bSf-ID,bSf-C,bSf-Sm,bSf-Sf,bSf-A,bA-ID,bA-C,bA-Sm,bA-Sf,bA-A
0,0,1.0,,,,,1.0,,,,,36.0,,,,,36.0,,,,
1,0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,
2,0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,
3,0,1.0,0.0,0.4999999,0.59663874,1.0966387,51.0,0.0,0.0,0.0818364,0.0818364,51.0,0.0,0.0,0.0818364,0.0818364,51.0,0.0,0.0,0.0818364,0.0818364
4,0,3.0,0.0,0.0,0.074897036,0.074897036,3.0,0.0,0.0,0.074897036,0.074897036,3.0,0.0,0.0,0.074897036,0.074897036,3.0,0.0,0.0,0.074897036,0.074897036
5,0,1.0,0.0,0.0,0.074897036,0.074897036,1.0,0.0,0.0,0.074897036,0.074897036,50.0,0.6613758,0.25862047,0.0,0.91999626,1.0,0.0,0.0,0.074897036,0.074897036
6,0,5.0,0.0387121,0.18673454,0.0,0.22544664,5.0,0.0387121,0.18673454,0.0,0.22544664,5.0,0.0387121,0.18673454,0.0,0.22544664,5.0,0.0387121,0.18673454,0.0,0.22544664
7,0,4.0,0.002644452,0.18673454,0.0,0.18937899,5.0,0.93168926,0.03734691,0.069584936,1.0386211,4.0,0.002644452,0.18673454,0.0,0.18937899,4.0,0.002644452,0.18673454,0.0,0.18937899
8,0,4.0,0.002644452,0.18673454,0.0,0.18937899,5.0,0.93168926,0.03734691,0.069584936,1.0386211,4.0,0.002644452,0.18673454,0.0,0.18937899,4.0,0.002644452,0.18673454,0.0,0.18937899
9,0,8.0,0.0,0.13278668,0.002517667,0.13530435,5.0,0.93168926,0.025499973,0.03067219,0.98786145,4.0,0.002644452,0.12749988,0.0,0.13014433,4.0,0.002644452,0.12749988,0.0,0.13014433
10,0,8.0,0.0,0.13278668,0.002517667,0.13530435,5.0,0.93168926,0.025499973,0.03067219,0.98786145,4.0,0.002644452,0.12749988,0.0,0.13014433,4.0,0.002644452,0.12749988,0.0,0.13014433
11,0,8.0,0.0,0.13278668,0.002517667,0.13530435,5.0,0.93168926,0.025499973,0.03067219,0.98786145,4.0,0.002644452,0.12749988,0.0,0.13014433,4.0,0.002644452,0.12749988,0.0,0.13014433
12,0,8.0,0.0,0.3061223,0.7270864,1.0332087,112.0,0.0,0.0,0.23669975,0.23669975,114.0,1.0,0.3265309,0.03621381,1.3627447,112.0,0.0,0.0,0.23669975,0.23669975
13,0,1.0,0.0,0.07353126,0.3294077,0.40293896,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
14,0,1.0,0.0,0.13970934,0.7773652,0.91707456,59.0,0.0,0.0,0.0031210722,0.0031210722,62.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0
15,0,1.0,0.0,0.13970934,0.7664397,0.906149,4.0,0.0,0.0,0.0030772067,0.0030772067,7.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
